iso_code,country,year,co2,consumption_co2,co2_growth_prct,co2_growth_abs,trade_co2,co2_per_capita,consumption_co2_per_capita,share_global_co2,cumulative_co2,share_global_cumulative_co2,co2_per_gdp,consumption_co2_per_gdp,co2_per_unit_energy,coal_co2,cement_co2,flaring_co2,gas_co2,oil_co2,other_industry_co2,cement_co2_per_capita,coal_co2_per_capita,flaring_co2_per_capita,gas_co2_per_capita,oil_co2_per_capita,other_co2_per_capita,trade_co2_share,share_global_cement_co2,share_global_coal_co2,share_global_flaring_co2,share_global_gas_co2,share_global_oil_co2,share_global_other_co2,cumulative_cement_co2,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_oil_co2,cumulative_other_co2,share_global_cumulative_cement_co2,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,total_ghg,ghg_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,population,gdp,primary_energy_consumption,energy_per_capita,energy_per_gdp
BRB,Barbados,1928,0.004,,,,,0.022,,0,0.004,0,,,,,,,,0.004,,,,,,0.022,,,,,,,0,,,,,,0.004,,,,,,0,,,,,,,,170566,,,,
BRB,Barbados,1929,0.004,,0,0,,0.021,,0,0.007,0,,,,,,,,0.004,,,,,,0.021,,,,,,,0,,,,,,0.007,,,,,,0,,,,,,,,172350,,,,
BRB,Barbados,1930,0.007,,100,0.004,,0.042,,0,0.015,0,,,,,,,,0.007,,,,,,0.042,,,,,,,0,,,,,,0.015,,,,,,0,,,,,,,,174173,,,,
BRB,Barbados,1931,0.004,,-50,-0.004,,0.021,,0,0.018,0,,,,,,,,0.004,,,,,,0.021,,,,,,,0,,,,,,0.018,,,,,,0,,,,,,,,176037,,,,
BRB,Barbados,1932,0.004,,0,0,,0.021,,0,0.022,0,,,,,,,,0.004,,,,,,0.021,,,,,,,0,,,,,,0.022,,,,,,0,,,,,,,,177942,,,,
BRB,Barbados,1933,0.004,,0,0,,0.02,,0,0.026,0,,,,,,,,0.004,,,,,,0.02,,,,,,,0,,,,,,0.026,,,,,,0,,,,,,,,179889,,,,
BRB,Barbados,1934,0.004,,0,0,,0.02,,0,0.029,0,,,,,,,,0.004,,,,,,0.02,,,,,,,0,,,,,,0.029,,,,,,0,,,,,,,,181857,,,,
BRB,Barbados,1935,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183846,,,,
BRB,Barbados,1936,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185857,,,,
BRB,Barbados,1937,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187891,,,,
BRB,Barbados,1938,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189946,,,,
